# PTC 27.5 deg Re-analysis May 10, 2021 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  25.37556    2.08743    0.00000    0.00000    0.13846    0.00636
  25.52054    2.38514    0.00000    0.30000    0.13471    0.03340
  25.67495    2.96026    0.00000    0.60000    0.12611    0.02723
  25.82268    3.34141    0.00000    0.90000    0.12196    0.03680
  25.98277    3.69636    0.00000    1.20000    0.11380    0.04096
  26.28454    4.31174    0.00000    1.80000    0.10359    0.04696
  26.33238    2.08850    6.00000    0.00000    0.10076    0.00630
  26.46572    2.37867    6.00000    0.30000    0.09776    0.03302
  26.60022    2.95036    6.00000    0.60000    0.09393    0.02725
  26.73396    3.32826    6.00000    0.90000    0.09062    0.03680
  26.88763    3.68178    6.00000    1.20000    0.08747    0.04178
  27.17371    4.29379    6.00000    1.80000    0.08010    0.04678
  27.17121    2.08947   12.00000    0.00000    0.07750    0.00643
  27.32978    2.37477   12.00000    0.30000    0.07710    0.03311
  27.47439    2.94204   12.00000    0.60000    0.07412    0.02790
  27.62427    3.31766   12.00000    0.90000    0.07006    0.03562
  27.77533    3.66827   12.00000    1.20000    0.06762    0.04162
  28.04136    4.26946   12.00000    1.80000    0.06280    0.04682
  29.09655    2.11879   24.00000    0.00000    0.05568    0.00778
  29.28159    2.42883   24.00000    0.30000    0.05450    0.03703
  29.47399    2.95559   24.00000    0.60000    0.05219    0.02777
  29.64887    3.31059   24.00000    0.90000    0.05367    0.03630
  29.83708    3.64858   24.00000    1.20000    0.09078    0.04008
  30.17724    4.22551   24.00000    1.80000    0.04664    0.04871
  30.29786    2.15344   30.00000    0.00000    0.04659    0.00990
  30.51235    2.55330   30.00000    0.30000    0.04715    0.04087
  30.68683    3.01121   30.00000    0.60000    0.04658    0.02925
  30.86486    3.35053   30.00000    0.90000    0.04318    0.03687
  31.02846    3.67277   30.00000    1.20000    0.04017    0.04186
  31.38037    4.22427   30.00000    1.80000    0.03865    0.04583
  31.56658    2.25568   36.00000    0.00000    0.03995    0.02509
  31.76907    2.70686   36.00000    0.30000    0.04105    0.04250
  31.96773    3.08721   36.00000    0.60000    0.04091    0.03311
  32.18030    3.41366   36.00000    0.90000    0.04173    0.04097
  32.39938    3.72028   36.00000    1.20000    0.15326    0.04534
  32.82409    4.25946   36.00000    1.80000    0.03682    0.04975
  33.36328    2.59902   43.00000    0.00000    0.03660    0.05362
  33.56190    2.97306   43.00000    0.30000    0.03505    0.03553
  33.78303    3.27082   43.00000    0.60000    0.03520    0.03878
  34.05164    3.56602   43.00000    0.90000    0.02935    0.04510
  34.31026    3.84183   43.00000    1.20000    0.03654    0.04765
  34.76294    4.36023   43.00000    1.80000    0.02793    0.05318
  35.90233    3.09157   51.00000    0.00000    0.02840    0.04044
  36.10420    3.35801   51.00000    0.30000    0.02959    0.04738
  36.31197    3.61848   51.00000    0.60000    0.02856    0.04945
  36.53854    3.87179   51.00000    0.90000    0.02719    0.04999
  36.77770    4.08491   51.00000    1.20000    0.02694    0.04976
  37.16868    4.54355   51.00000    1.80000    0.02642    0.05286
