# PTC 36 deg Re-analysis May 10, 2021 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  26.05578    2.09201    0.00000    0.00000    0.12122    0.00589
  26.24604    2.40327    0.00000    0.30000    0.10552    0.03395
  26.41279    2.97354    0.00000    0.60000    0.09623    0.02803
  26.57956    3.35649    0.00000    0.90000    0.09467    0.03407
  26.75177    3.71280    0.00000    1.20000    0.08555    0.04007
  27.07633    4.32447    0.00000    1.80000    0.08086    0.04343
  27.02390    2.09364    6.00000    0.00000    0.07703    0.00587
  27.20613    2.39688    6.00000    0.30000    0.07898    0.03226
  27.37424    2.96288    6.00000    0.60000    0.07032    0.02670
  27.53674    3.34341    6.00000    0.90000    0.06479    0.03561
  27.69760    3.69762    6.00000    1.20000    0.06461    0.04405
  27.99834    4.30458    6.00000    1.80000    0.06287    0.04790
  27.94249    2.09807   12.00000    0.00000    0.06166    0.00674
  28.11763    2.39669   12.00000    0.30000    0.05853    0.03405
  28.27857    2.95380   12.00000    0.60000    0.05274    0.02913
  28.43985    3.33071   12.00000    0.90000    0.05645    0.03856
  28.59914    3.68080   12.00000    1.20000    0.05235    0.04458
  28.90880    4.28012   12.00000    1.80000    0.05193    0.05168
  29.98247    2.13883   24.00000    0.00000    0.05186    0.00931
  30.16367    2.49211   24.00000    0.30000    0.04875    0.04036
  30.36040    2.98395   24.00000    0.60000    0.04820    0.02937
  30.53554    3.33689   24.00000    0.90000    0.04854    0.03647
  30.72554    3.66783   24.00000    1.20000    0.04601    0.04202
  31.09865    4.23689   24.00000    1.80000    0.04317    0.04789
  31.26585    2.23792   30.00000    0.00000    0.04551    0.02175
  31.46371    2.68145   30.00000    0.30000    0.04659    0.04165
  31.65169    3.07163   30.00000    0.60000    0.04354    0.03107
  31.85139    3.39948   30.00000    0.90000    0.04477    0.03957
  32.05304    3.71340   30.00000    1.20000    0.04503    0.04281
  32.46909    4.25557   30.00000    1.80000    0.04628    0.04770
  32.75768    2.46210   36.00000    0.00000    0.04226    0.04081
  32.98833    2.90789   36.00000    0.30000    0.04262    0.03400
  33.20767    3.22684   36.00000    0.60000    0.04585    0.03389
  33.41768    3.53278   36.00000    0.90000    0.04895    0.03758
  33.63116    3.81316   36.00000    1.20000    0.04029    0.04246
  34.04767    4.32481   36.00000    1.80000    0.04835    0.04804
  34.70538    2.81959   43.00000    0.00000    0.03528    0.04522
  34.95597    3.14075   43.00000    0.30000    0.03271    0.03936
  35.18236    3.44152   43.00000    0.60000    0.03037    0.04739
  35.44172    3.72956   43.00000    0.90000    0.02926    0.04853
  35.68597    3.97937   43.00000    1.20000    0.02800    0.05062
  36.14316    4.48691   43.00000    1.80000    0.02439    0.05467
  37.32902    3.34398   51.00000    0.00000    0.02481    0.05161
  37.56086    3.57586   51.00000    0.30000    0.02383    0.05343
  37.79880    3.80944   51.00000    0.60000    0.03145    0.05318
  38.00166    4.01498   51.00000    0.90000    0.02048    0.05250
  38.21011    4.21858   51.00000    1.20000    0.02199    0.05398
  38.62235    4.64629   51.00000    1.80000    0.01988    0.05913
