# Stage 1 Tilt and HDLC data fitting results after re-analysis. September 05, 2023 
#  P1 (W)	 P2 (W)	 a1 (K)	 b1 (K)	 c1 (K)	 da1 (K)	 db1 (K)	 dc1 (K)	
   0.00000    0.00000    0.01225    0.11521   25.05797    0.00090    0.00129    0.07593
   0.00000    0.30000    0.01257    0.11521   25.20538    0.00146    0.00129    0.15539
   0.00000    0.60000    0.01256    0.11521   25.37820    0.00145    0.00129    0.15539
   0.00000    0.90000    0.01252    0.11521   25.54576    0.00145    0.00129    0.15539
   0.00000    1.20000    0.01258    0.11521   25.71876    0.00146    0.00129    0.15539
   0.00000    1.80000    0.01202    0.11521   26.06717    0.00089    0.00129    0.07504
   6.00000    0.00000    0.01283    0.11521   25.98860    0.00146    0.00129    0.15540
   6.00000    0.30000    0.01284    0.11521   26.16192    0.00146    0.00129    0.15540
   6.00000    0.60000    0.01286    0.11521   26.32237    0.00146    0.00129    0.15540
   6.00000    0.90000    0.01295    0.11521   26.47896    0.00147    0.00129    0.15540
   6.00000    1.20000    0.01294    0.11521   26.63997    0.00147    0.00129    0.15540
   6.00000    1.80000    0.01308    0.11521   26.94037    0.00147    0.00129    0.15541
  12.00000    0.00000    0.01372    0.11521   26.84766    0.00150    0.00129    0.15543
  12.00000    0.30000    0.01361    0.11521   27.03925    0.00149    0.00129    0.15543
  12.00000    0.60000    0.01358    0.11521   27.21066    0.00149    0.00129    0.15543
  12.00000    0.90000    0.01350    0.11521   27.39050    0.00149    0.00129    0.15542
  12.00000    1.20000    0.01346    0.11521   27.56600    0.00149    0.00129    0.15542
  12.00000    1.80000    0.01381    0.11521   27.86396    0.00150    0.00129    0.15543
  24.00000    0.00000    0.01874    0.11521   28.64298    0.00170    0.00129    0.15566
  24.00000    0.30000    0.01894    0.11521   28.83848    0.00171    0.00129    0.15567
  24.00000    0.60000    0.01913    0.11521   29.03062    0.00172    0.00129    0.15568
  24.00000    0.90000    0.02265    0.11521   29.04822    0.00162    0.00129    0.08236
  24.00000    1.20000    0.01969    0.11521   29.38343    0.00174    0.00129    0.15570
  24.00000    1.80000    0.02013    0.11521   29.73439    0.00176    0.00129    0.15573
  30.00000    0.00000    0.02364    0.11521   29.65577    0.00193    0.00129    0.15594
  30.00000    0.30000    0.02355    0.11521   29.86458    0.00192    0.00129    0.15593
  30.00000    0.60000    0.02361    0.11521   30.04330    0.00192    0.00129    0.15594
  30.00000    0.90000    0.02349    0.11521   30.24337    0.00192    0.00129    0.15593
  30.00000    1.20000    0.02336    0.11521   30.44283    0.00191    0.00129    0.15592
  30.00000    1.80000    0.02336    0.11521   30.83509    0.00191    0.00129    0.15592
  36.00000    0.00000    0.02650    0.11521   30.86181    0.00207    0.00129    0.15614
  36.00000    0.30000    0.02633    0.11521   31.07404    0.00206    0.00129    0.15612
  36.00000    0.60000    0.02638    0.11521   31.27991    0.00206    0.00129    0.15613
  36.00000    0.90000    0.02633    0.11521   31.48938    0.00206    0.00129    0.15612
  36.00000    1.20000    0.02629    0.11521   31.71615    0.00206    0.00129    0.15612
  36.00000    1.80000    0.02631    0.11521   32.15191    0.00206    0.00129    0.15612
  43.00000    0.00000    0.02980    0.11521   32.55991    0.00224    0.00129    0.15639
  43.00000    0.30000    0.02944    0.11521   32.80403    0.00222    0.00129    0.15636
  43.00000    0.60000    0.02967    0.11521   33.03202    0.00223    0.00129    0.15638
  43.00000    0.90000    0.03004    0.11521   33.28181    0.00225    0.00129    0.15641
  43.00000    1.20000    0.03016    0.11521   33.53105    0.00226    0.00129    0.15642
  43.00000    1.80000    0.03058    0.11521   33.97503    0.00228    0.00129    0.15645
  51.00000    0.00000    0.03596    0.11521   35.09889    0.00253    0.00129    0.08750
  51.00000    0.30000    0.03623    0.11521   35.07213    0.00259    0.00129    0.15697
  51.00000    0.60000    0.03636    0.11521   35.28557    0.00260    0.00129    0.15698
  51.00000    0.90000    0.03644    0.11521   35.49417    0.00260    0.00129    0.15699
  51.00000    1.20000    0.03651    0.11521   35.71943    0.00260    0.00129    0.15700
  51.00000    1.80000    0.03645    0.11521   36.33492    0.00257    0.00129    0.08773
