# Stage 2 Tilt and HDLC data fitting results after re-analysis. August 30, 2023 
#  P1 (W)	 P2 (W)	 a2 (K)	 b2 (K)	 c2 (K)	 da2 (K)	 db2 (K)	 dc2 (K)	
   0.00000    0.00000    0.00560    0.09590    1.89348    0.00198    0.00593    0.07710
   0.00000    1.80000    0.00097    0.09590    4.30291    0.00088    0.00593    0.07502
  24.00000    0.00000    0.00922    0.09590    1.94062    0.00404    0.00593    0.15842
  24.00000    0.30000    0.00899    0.09590    2.27061    0.00400    0.00593    0.15839
  24.00000    0.60000    0.00584    0.09590    2.85167    0.00346    0.00593    0.15802
  24.00000    0.90000    0.01199    0.09590    3.10804    0.00399    0.00593    0.08434
  24.00000    1.20000    0.00353    0.09590    3.59506    0.00318    0.00593    0.15785
  24.00000    1.80000    0.00237    0.09590    4.19571    0.00309    0.00593    0.15779
  30.00000    0.00000    0.01478    0.09590    1.90645    0.00527    0.00593    0.15948
  30.00000    0.30000    0.01397    0.09590    2.29042    0.00508    0.00593    0.15930
  30.00000    0.60000    0.01050    0.09590    2.81578    0.00430    0.00593    0.15863
  30.00000    0.90000    0.00860    0.09590    3.19592    0.00392    0.00593    0.15834
  30.00000    1.20000    0.00721    0.09590    3.54770    0.00367    0.00593    0.15816
  30.00000    1.80000    0.00486    0.09590    4.15062    0.00333    0.00593    0.15794
  36.00000    0.00000    0.01804    0.09590    1.98308    0.00608    0.00593    0.16032
  36.00000    0.30000    0.01615    0.09590    2.39252    0.00560    0.00593    0.15981
  36.00000    0.60000    0.01331    0.09590    2.85571    0.00492    0.00593    0.15915
  36.00000    0.90000    0.01228    0.09590    3.20258    0.00469    0.00593    0.15895
  36.00000    1.20000    0.01053    0.09590    3.53861    0.00431    0.00593    0.15863
  36.00000    1.80000    0.00746    0.09590    4.13668    0.00372    0.00593    0.15819
  43.00000    0.00000    0.02094    0.09590    2.17343    0.00683    0.00593    0.16120
  43.00000    0.30000    0.01908    0.09590    2.55671    0.00634    0.00593    0.16062
  43.00000    0.60000    0.01644    0.09590    2.95998    0.00567    0.00593    0.15989
  43.00000    0.90000    0.01461    0.09590    3.29828    0.00523    0.00593    0.15944
  43.00000    1.20000    0.01272    0.09590    3.61390    0.00479    0.00593    0.15903
  43.00000    1.80000    0.00937    0.09590    4.19328    0.00407    0.00593    0.15845
  51.00000    0.00000    0.02110    0.09590    2.85569    0.00690    0.00593    0.09410
  51.00000    0.30000    0.02132    0.09590    2.90271    0.00693    0.00593    0.16133
  51.00000    0.60000    0.01891    0.09590    3.21625    0.00630    0.00593    0.16057
  51.00000    0.90000    0.01672    0.09590    3.50817    0.00574    0.00593    0.15996
  51.00000    1.20000    0.01489    0.09590    3.78495    0.00529    0.00593    0.15950
  51.00000    1.80000    0.01656    0.09590    4.31682    0.00545    0.00593    0.08870
