# Spare PTC 20m 0deg 235 psi. LPF applied. September 06, 2023 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  28.13868    2.13503    0.00000    0.00000    0.06604    0.00842
  28.36488    2.59496    0.00000    0.30000    0.06307    0.04071
  28.56110    3.07331    0.00000    0.60000    0.06174    0.03146
  28.74786    3.42898    0.00000    0.90000    0.06193    0.04040
  28.92127    3.75336    0.00000    1.20000    0.06013    0.04500
  29.26616    4.32448    0.00000    1.80000    0.06026    0.05039
  29.00396    2.13158    6.00000    0.00000    0.05999    0.00844
  29.26782    2.58029    6.00000    0.30000    0.06036    0.04088
  29.45237    3.05898    6.00000    0.60000    0.05655    0.02893
  29.63447    3.41283    6.00000    0.90000    0.05665    0.04053
  29.83749    3.73815    6.00000    1.20000    0.05532    0.04510
  30.16354    4.30518    6.00000    1.80000    0.05158    0.05005
  29.89832    2.13245   12.00000    0.00000    0.05385    0.00843
  30.13492    2.56504   12.00000    0.30000    0.05162    0.04079
  30.31582    3.04517   12.00000    0.60000    0.05048    0.03099
  30.49404    3.39263   12.00000    0.90000    0.04923    0.03994
  30.67076    3.71300   12.00000    1.20000    0.04810    0.04493
  31.01366    4.27590   12.00000    1.80000    0.04985    0.04972
  31.75168    2.13022   24.00000    0.00000    0.04798    0.00835
  32.06026    2.53147   24.00000    0.30000    0.04635    0.04077
  32.30641    3.01382   24.00000    0.60000    0.04728    0.03065
  32.56369    3.35382   24.00000    0.90000    0.04816    0.03917
  32.80851    3.66842   24.00000    1.20000    0.04911    0.04445
  33.28552    4.21680   24.00000    1.80000    0.04606    0.04919
  32.98687    2.13001   30.00000    0.00000    0.04728    0.00830
  33.31554    2.51794   30.00000    0.30000    0.04605    0.04053
  33.59722    2.99864   30.00000    0.60000    0.04517    0.03082
  33.82379    3.33578   30.00000    0.90000    0.04339    0.03871
  34.05986    3.64716   30.00000    1.20000    0.04250    0.04415
  34.50760    4.18546   30.00000    1.80000    0.03969    0.04884
  34.13592    2.13020   36.00000    0.00000    0.04195    0.00832
  34.44643    2.50741   36.00000    0.30000    0.04007    0.04028
  34.71331    2.98607   36.00000    0.60000    0.03872    0.03096
  34.94903    3.31877   36.00000    0.90000    0.03887    0.03844
  35.21293    3.62785   36.00000    1.20000    0.03692    0.04372
  35.71434    4.15666   36.00000    1.80000    0.03523    0.04835
  35.68715    2.13222   43.00000    0.00000    0.05380    0.00833
  35.86437    2.50054   43.00000    0.30000    0.03527    0.03966
  36.14232    2.97443   43.00000    0.60000    0.03346    0.03082
  36.38370    3.30276   43.00000    0.90000    0.03809    0.03760
  36.71306    3.60676   43.00000    1.20000    0.03130    0.04322
  37.27328    4.12444   43.00000    1.80000    0.02954    0.04769
  37.37424    2.13355   51.00000    0.00000    0.02935    0.00841
  37.71107    2.48936   51.00000    0.30000    0.02941    0.03915
  38.01665    2.95568   51.00000    0.60000    0.02842    0.03128
  38.27597    3.27903   51.00000    0.90000    0.02763    0.03693
  38.55990    3.57877   51.00000    1.20000    0.02639    0.04232
  39.08069    4.08583   51.00000    1.80000    0.02449    0.04714
