# Spare PTC 70m, 0 deg, 233 psi. LPF applied. September 07, 2023 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  28.82639    2.14491    0.00000    0.00000    0.06035    0.00826
  29.05353    2.62647    0.00000    0.30000    0.06043    0.03834
  29.24240    3.08698    0.00000    0.60000    0.06042    0.02952
  29.44902    3.44029    0.00000    0.90000    0.05947    0.03783
  29.67001    3.76636    0.00000    1.20000    0.05585    0.04199
  30.04208    4.33951    0.00000    1.80000    0.05264    0.04708
  29.71694    2.14263    6.00000    0.00000    0.05591    0.00815
  29.94579    2.60767    6.00000    0.30000    0.05314    0.03854
  30.14688    3.07209    6.00000    0.60000    0.05125    0.02929
  30.33310    3.42201    6.00000    0.90000    0.04974    0.03792
  30.51389    3.74486    6.00000    1.20000    0.04851    0.04217
  30.88029    4.31460    6.00000    1.80000    0.04790    0.04678
  30.56750    2.14030   12.00000    0.00000    0.04783    0.00820
  30.79243    2.59125   12.00000    0.30000    0.04708    0.03849
  31.00674    3.05732   12.00000    0.60000    0.04882    0.02918
  31.21092    3.40226   12.00000    0.90000    0.04981    0.03766
  31.44758    3.72308   12.00000    1.20000    0.04932    0.04215
  31.90537    4.29022   12.00000    1.80000    0.04677    0.04680
  32.70279    2.13846   24.00000    0.00000    0.04726    0.00814
  33.04493    2.56114   24.00000    0.30000    0.04679    0.03850
  33.34445    3.02890   24.00000    0.60000    0.04542    0.02872
  33.64472    3.36537   24.00000    0.90000    0.04457    0.03705
  33.91837    3.67895   24.00000    1.20000    0.04305    0.04177
  34.42313    4.23402   24.00000    1.80000    0.03982    0.04613
  34.00754    2.13850   30.00000    0.00000    0.04137    0.00821
  34.31951    2.55002   30.00000    0.30000    0.04030    0.03853
  34.57792    3.01683   30.00000    0.60000    0.03979    0.02861
  34.81454    3.34828   30.00000    0.90000    0.03819    0.03665
  35.08149    3.65879   30.00000    1.20000    0.03655    0.04160
  35.53519    4.20468   30.00000    1.80000    0.03580    0.04577
  35.10446    2.13934   36.00000    0.00000    0.03704    0.00816
  35.42416    2.54204   36.00000    0.30000    0.03564    0.03835
  35.67761    3.00533   36.00000    0.60000    0.03514    0.02848
  35.94077    3.33386   36.00000    0.90000    0.03405    0.03642
  36.21177    3.64136   36.00000    1.20000    0.03272    0.04121
  36.72109    4.17742   36.00000    1.80000    0.03097    0.04551
  36.52877    2.14063   43.00000    0.00000    0.03175    0.00816
  36.89057    2.53417   43.00000    0.30000    0.03060    0.03809
  37.21730    2.99450   43.00000    0.60000    0.03011    0.02839
  37.51320    3.31753   43.00000    0.90000    0.02891    0.03595
  37.86265    3.62174   43.00000    1.20000    0.02846    0.04088
  38.43164    4.14715   43.00000    1.80000    0.02612    0.04517
  38.52128    2.14454   51.00000    0.00000    0.02662    0.00836
  38.89280    2.53379   51.00000    0.30000    0.02503    0.03806
  39.21850    2.98666   51.00000    0.60000    0.02417    0.02849
  39.49243    3.30472   51.00000    0.90000    0.02315    0.03530
  39.80151    3.60321   51.00000    1.20000    0.02295    0.04047
  40.74948    4.11246   51.00000    1.80000    0.03248    0.04458
