# Spare PTC 70m, 0 deg, 240 psi. LPF applied. September 07, 2023 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  29.00335    2.14178    0.00000    0.00000    0.06349    0.00838
  29.17136    2.59125    0.00000    0.30000    0.06322    0.03912
  29.32609    3.05345    0.00000    0.60000    0.06184    0.02946
  29.47906    3.39494    0.00000    0.90000    0.06139    0.03791
  29.62194    3.71460    0.00000    1.20000    0.05929    0.04262
  29.93099    4.28424    0.00000    1.80000    0.05642    0.04677
  29.68122    2.14511    6.00000    0.00000    0.05923    0.00852
  29.87405    2.59311    6.00000    0.30000    0.05698    0.03853
  30.03316    3.05123    6.00000    0.60000    0.05510    0.02908
  30.26281    3.38912    6.00000    0.90000    0.05296    0.03770
  30.47687    3.70619    6.00000    1.20000    0.05151    0.04200
  30.80534    4.27069    6.00000    1.80000    0.05022    0.04672
  30.58152    2.14513   12.00000    0.00000    0.04997    0.00875
  30.78870    2.58619   12.00000    0.30000    0.04932    0.03922
  30.99702    3.04417   12.00000    0.60000    0.05047    0.02943
  31.21615    3.38052   12.00000    0.90000    0.05170    0.03791
  31.44279    3.69549   12.00000    1.20000    0.05198    0.04218
  31.82459    4.25232   12.00000    1.80000    0.04910    0.04680
  32.55764    2.14344   24.00000    0.00000    0.04920    0.00870
  32.81361    2.55982   24.00000    0.30000    0.04921    0.03927
  33.03807    3.01727   24.00000    0.60000    0.04888    0.02920
  33.25981    3.34500   24.00000    0.90000    0.04768    0.03708
  33.49762    3.65324   24.00000    1.20000    0.04700    0.04194
  33.95034    4.19422   24.00000    1.80000    0.04429    0.04609
  33.58853    2.14176   30.00000    0.00000    0.04677    0.00853
  33.88565    2.54601   30.00000    0.30000    0.04489    0.03897
  34.12632    3.00387   30.00000    0.60000    0.04349    0.02901
  34.37415    3.32826   30.00000    0.90000    0.04278    0.03658
  34.61634    3.63313   30.00000    1.20000    0.04138    0.04152
  35.04985    4.16661   30.00000    1.80000    0.03904    0.04563
  34.77919    2.14421   36.00000    0.00000    0.03964    0.00867
  35.12329    2.54300   36.00000    0.30000    0.03861    0.03891
  35.42933    2.99628   36.00000    0.60000    0.03770    0.02904
  35.71379    3.31785   36.00000    0.90000    0.03636    0.03624
  35.97757    3.61908   36.00000    1.20000    0.03534    0.04156
  36.46831    4.14432   36.00000    1.80000    0.03290    0.04552
  36.35765    2.14612   43.00000    0.00000    0.03444    0.00883
  36.61106    2.53711   43.00000    0.30000    0.03242    0.03887
  36.91535    2.98675   43.00000    0.60000    0.03162    0.02923
  37.16359    3.31193   43.00000    0.90000    0.03115    0.03624
  37.40371    3.60798   43.00000    1.20000    0.03090    0.04160
  37.91498    4.12283   43.00000    1.80000    0.02891    0.04546
  37.94937    2.15555   51.00000    0.00000    0.02996    0.00970
  38.24031    2.55058   51.00000    0.30000    0.02838    0.03899
  38.49041    2.98803   51.00000    0.60000    0.02746    0.02915
  38.72750    3.29951   51.00000    0.90000    0.02653    0.03579
  38.99405    3.59225   51.00000    1.20000    0.02888    0.04106
  39.50509    4.09565   51.00000    1.80000    0.02469    0.04491
