# Spare PTC 70m, 27.5 deg, 233 psi. LPF applied. September 07, 2023 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  29.50905    2.14087    0.00000    0.00000    0.05544    0.00831
  29.75022    2.60709    0.00000    0.30000    0.05406    0.03934
  29.95635    3.07393    0.00000    0.60000    0.05194    0.03029
  30.16407    3.42411    0.00000    0.90000    0.05043    0.03894
  30.36063    3.74892    0.00000    1.20000    0.04874    0.04331
  30.69427    4.32463    0.00000    1.80000    0.04669    0.04796
  30.41416    2.14405    6.00000    0.00000    0.04831    0.00856
  30.64078    2.60625    6.00000    0.30000    0.04659    0.03938
  30.83877    3.06786    6.00000    0.60000    0.04667    0.03003
  31.02764    3.41409    6.00000    0.90000    0.04817    0.03858
  31.23154    3.73529    6.00000    1.20000    0.04978    0.04267
  31.62758    4.30190    6.00000    1.80000    0.04676    0.04770
  31.31833    2.14304   12.00000    0.00000    0.04896    0.00840
  31.57783    2.59175   12.00000    0.30000    0.04729    0.03908
  31.80779    3.05383   12.00000    0.60000    0.04555    0.02944
  31.99537    3.39581   12.00000    0.90000    0.04737    0.03779
  32.23078    3.71422   12.00000    1.20000    0.04690    0.04238
  32.72657    4.27492   12.00000    1.80000    0.04852    0.04710
  33.75736    2.14079   24.00000    0.00000    0.04236    0.00824
  34.09375    2.56210   24.00000    0.30000    0.04032    0.03881
  34.41497    3.02554   24.00000    0.60000    0.03915    0.02884
  34.67884    3.35757   24.00000    0.90000    0.03705    0.03704
  34.96136    3.66639   24.00000    1.20000    0.03898    0.04181
  35.40932    4.21292   24.00000    1.80000    0.03470    0.04589
  35.07247    2.14250   30.00000    0.00000    0.03638    0.00834
  35.42933    2.55401   30.00000    0.30000    0.03475    0.03866
  35.70584    3.01275   30.00000    0.60000    0.03402    0.02865
  35.97593    3.34058   30.00000    0.90000    0.03258    0.03659
  36.22413    3.64703   30.00000    1.20000    0.03176    0.04163
  36.70482    4.18236   30.00000    1.80000    0.03845    0.04564
  36.34527    2.14279   36.00000    0.00000    0.03145    0.00827
  36.65137    2.54216   36.00000    0.30000    0.02984    0.03825
  36.94443    2.99892   36.00000    0.60000    0.02920    0.02835
  37.20463    3.32228   36.00000    0.90000    0.02883    0.03586
  37.47940    3.62683   36.00000    1.20000    0.11322    0.04084
  37.91304    4.15341   36.00000    1.80000    0.02777    0.04500
  37.78359    2.14517   43.00000    0.00000    0.02760    0.00831
  38.14214    2.53809   43.00000    0.30000    0.02853    0.03777
  38.47601    2.99031   43.00000    0.60000    0.02661    0.02814
  38.83589    3.30804   43.00000    0.90000    0.04161    0.03520
  39.16982    3.60648   43.00000    1.20000    0.02355    0.04009
  39.76374    4.12263   43.00000    1.80000    0.02141    0.04433
  39.88653    2.15494   51.00000    0.00000    0.02230    0.00897
  40.22957    2.55085   51.00000    0.30000    0.02134    0.03753
  40.60803    2.98933   51.00000    0.60000    0.02014    0.02779
  40.95143    3.29983   51.00000    0.90000    0.02632    0.03466
  41.22884    3.59274   51.00000    1.20000    0.01872    0.03940
  41.79008    4.09507   51.00000    1.80000    0.01841    0.04363
