# Spare PTC 70m, 27.5 deg, 240 psi. LPF applied. September 07, 2023 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  29.57245    2.15378    0.00000    0.00000    0.05697    0.00939
  29.76668    2.62089    0.00000    0.30000    0.05543    0.03893
  29.91211    3.06802    0.00000    0.60000    0.05413    0.02960
  30.06634    3.40627    0.00000    0.90000    0.05298    0.03788
  30.26362    3.72333    0.00000    1.20000    0.05059    0.04239
  30.57364    4.28510    0.00000    1.80000    0.04837    0.04686
  30.37697    2.15230    6.00000    0.00000    0.04974    0.00930
  30.56668    2.60749    6.00000    0.30000    0.04866    0.03920
  30.73387    3.05628    6.00000    0.60000    0.04826    0.02968
  30.90357    3.39101    6.00000    0.90000    0.04858    0.03806
  31.08071    3.70498    6.00000    1.20000    0.05037    0.04228
  31.45320    4.26216    6.00000    1.80000    0.04982    0.04694
  31.16218    2.15115   12.00000    0.00000    0.05126    0.00930
  31.39528    2.59475   12.00000    0.30000    0.07311    0.03931
  31.67698    3.04382   12.00000    0.60000    0.04813    0.02946
  31.95144    3.37614   12.00000    0.90000    0.04699    0.03784
  32.18194    3.68750   12.00000    1.20000    0.04752    0.04233
  32.59980    4.23905   12.00000    1.80000    0.04843    0.04642
  33.57684    2.14995   24.00000    0.00000    0.04453    0.00923
  33.88862    2.57041   24.00000    0.30000    0.04263    0.03945
  34.16267    3.01897   24.00000    0.60000    0.04144    0.02928
  34.39645    3.34290   24.00000    0.90000    0.04033    0.03713
  34.61023    3.64616   24.00000    1.20000    0.03962    0.04219
  35.07887    4.18023   24.00000    1.80000    0.03698    0.04610
  34.78296    2.15051   30.00000    0.00000    0.03869    0.00924
  35.07082    2.56107   30.00000    0.30000    0.03748    0.03941
  35.30714    3.00849   30.00000    0.60000    0.03648    0.02926
  35.54140    3.32774   30.00000    0.90000    0.03492    0.03677
  35.77504    3.62857   30.00000    1.20000    0.03508    0.04204
  36.21824    4.15354   30.00000    1.80000    0.03258    0.04589
  35.93021    2.15270   36.00000    0.00000    0.03400    0.00946
  36.20676    2.55571   36.00000    0.30000    0.03294    0.03910
  36.48645    2.99914   36.00000    0.60000    0.03139    0.02928
  36.74727    3.31508   36.00000    0.90000    0.04017    0.03658
  36.98501    3.61206   36.00000    1.20000    0.03005    0.04162
  37.48690    4.12802   36.00000    1.80000    0.02907    0.04573
  37.51879    2.15657   43.00000    0.00000    0.02972    0.00982
  37.88683    2.55506   43.00000    0.30000    0.02827    0.03936
  38.21177    2.99185   43.00000    0.60000    0.11208    0.02946
  38.51420    3.30333   43.00000    0.90000    0.02669    0.03633
  38.78200    3.59694   43.00000    1.20000    0.02550    0.04151
  39.31361    4.10289   43.00000    1.80000    0.02405    0.04551
  39.52387    2.16883   51.00000    0.00000    0.02640    0.01113
  39.82649    2.57092   51.00000    0.30000    0.02278    0.03928
  40.10925    2.99369   51.00000    0.60000    0.06013    0.02912
  40.36770    3.29754   51.00000    0.90000    0.02194    0.03565
  40.62817    3.58617   51.00000    1.20000    0.02066    0.04076
  41.16379    4.08258   51.00000    1.80000    0.02009    0.04488
