# SAT-1 PTC 0 deg with MLI. LPF applied. September 07, 2023 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  24.16926    2.18412    0.00000    0.00000    0.02350    0.00232
  24.48098    2.58213    0.00000    0.30000    0.02331    0.00442
  24.70811    3.04025    0.00000    0.60000    0.02373    0.00571
  24.91663    3.45755    0.00000    0.90000    0.02309    0.00730
  25.10837    3.81310    0.00000    1.20000    0.02141    0.00731
  25.44721    4.42484    0.00000    1.80000    0.02080    0.00934
  25.04684    2.18014    6.00000    0.00000    0.02260    0.00236
  25.42888    2.57313    6.00000    0.30000    0.02018    0.00450
  25.69128    3.02833    6.00000    0.60000    0.02098    0.00566
  25.92333    3.44325    6.00000    0.90000    0.02064    0.00729
  26.14042    3.79936    6.00000    1.20000    0.02003    0.00722
  26.49210    4.40391    6.00000    1.80000    0.01903    0.00938
  26.03364    2.17640   12.00000    0.00000    0.02077    0.00227
  26.46468    2.55912   12.00000    0.30000    0.01809    0.00444
  26.77596    3.00938   12.00000    0.60000    0.01789    0.00565
  26.99950    3.42047   12.00000    0.90000    0.01655    0.00693
  27.23104    3.77861   12.00000    1.20000    0.01699    0.00693
  27.68038    4.37416   12.00000    1.80000    0.01865    0.00880
  28.18381    2.17022   24.00000    0.00000    0.01604    0.00223
  28.68251    2.53230   24.00000    0.30000    0.01622    0.00420
  29.03678    2.96906   24.00000    0.60000    0.12914    0.00561
  29.31262    3.37181   24.00000    0.90000    0.01552    0.00701
  29.56028    3.73236   24.00000    1.20000    0.01370    0.00746
  30.05833    4.30140   24.00000    1.80000    0.01435    0.00931
  29.29054    2.17248   30.00000    0.00000    0.01541    0.00231
  29.76988    2.52413   30.00000    0.30000    0.01472    0.00430
  30.11921    2.95252   30.00000    0.60000    0.01484    0.00559
  30.42295    3.34937   30.00000    0.90000    0.01500    0.00696
  30.71032    3.71030   30.00000    1.20000    0.01456    0.00749
  31.27380    4.26598   30.00000    1.80000    0.01257    0.00909
  30.45990    2.18165   36.00000    0.00000    0.01465    0.00236
  30.93597    2.52359   36.00000    0.30000    0.01477    0.00422
  31.32254    2.94281   36.00000    0.60000    0.01288    0.00556
  31.64624    3.33389   36.00000    0.90000    0.01320    0.00678
  31.95694    3.69273   36.00000    1.20000    0.01161    0.00759
  32.59039    4.23613   36.00000    1.80000    0.01174    0.00904
  32.11354    2.22279   43.00000    0.00000    0.01271    0.00267
  32.59945    2.55854   43.00000    0.30000    0.01064    0.00434
  32.96644    2.96188   43.00000    0.60000    0.03075    0.00563
  33.31712    3.33983   43.00000    0.90000    0.01199    0.00682
  33.68384    3.69052   43.00000    1.20000    0.01155    0.00754
  34.34939    4.21931   43.00000    1.80000    0.01086    0.00886
  34.29150    2.36242   51.00000    0.00000    0.01173    0.00407
  34.67767    2.69454   51.00000    0.30000    0.01028    0.00501
  35.02714    3.06607   51.00000    0.60000    0.01505    0.00601
  35.35460    3.41935   51.00000    0.90000    0.01055    0.00746
  35.70044    3.74043   51.00000    1.20000    0.01098    0.00727
  36.40191    4.24745   51.00000    1.80000    0.00880    0.00915
